"","ApplicationCycle","Ethnicity","AnticipatedCompletionDate","ProgramName","CountryName","ProgramCity","ProgramRegion","ApplicationID","ProgramYear","ProgramTerm","ApplicationStatusAlias","Gender","PreferredGender","AcademicYear"
"762","Fall 2022","White","May 20 2024 12:00AM","Carleton Global Engagement: Ecology and Anthropology in Tanzania","Tanzania","Arusha","Sub-Saharan Africa",235003,2022,"Fall","Intend to Participate","F",NA,"2022-2023"
"763","Fall 2022","White","May 22 2023 12:00AM","CET Prague","Czech Republic","Prague","Europe",235077,2022,"Fall","Intend to Participate","M",NA,"2022-2023"
"764","Fall 2022","White","May 20 2024 12:00AM","Consortium for Advanced Studies Abroad (CASA) Barcelona","Spain","Barcelona","Europe",235415,2022,"Fall","Intend to Participate","F",NA,"2022-2023"
"765","Fall 2022","White","May 20 2024 12:00AM","IES Abroad Amsterdam - Psychology & Sciences","Netherlands","Amsterdam","Europe",235454,2022,"Fall","Intend to Participate","F",NA,"2022-2023"
"766","Fall 2022","International student","Dec 15 2023 12:00AM","Aquincum Institute of Technology","Hungary","Budapest","Europe",235550,2022,"Fall","Intend to Participate","M",NA,"2022-2023"
"767","Fall 2022","International student","Dec 15 2023 12:00AM","Aquincum Institute of Technology","Hungary","Budapest","Europe",235551,2022,"Fall","Intend to Participate","M",NA,"2022-2023"
"768","Fall 2022","White","May 22 2023 12:00AM","Arcadia Abroad - University of New South Wales","Australia","Sydney","Oceania",235717,2022,"Fall","Intend to Participate","M",NA,"2022-2023"
"769","Fall 2022","International student","May 22 2023 12:00AM","Aquincum Institute of Technology","Hungary","Budapest","Europe",236002,2022,"Fall","Intend to Participate","M",NA,"2022-2023"
"770","Fall 2022","White","Dec 15 2023 12:00AM","CET Prague","Czech Republic","Prague","Europe",236164,2022,"Fall","Intend to Participate","F",NA,"2022-2023"
"771","Fall 2022","International student","May 22 2023 12:00AM","CIEE Arts and Sciences Program in Seoul, Korea","South Korea","Seoul","Asia",236230,2022,"Fall","Intend to Participate","F",NA,"2022-2023"
"772","Fall 2022","White","May 22 2023 12:00AM","The School for Field Studies - Bhutan: Himalayan Environment and Society in Transition","Bhutan","Paro","Asia",237269,2022,"Fall","Intend to Participate","M",NA,"2022-2023"
"773","Fall 2022","White","Dec 15 2023 12:00AM","IES Abroad Berlin - Language & Area Studies","Germany","Berlin","Europe",237383,2022,"Fall","Intend to Participate","M",NA,"2022-2023"
"774","Fall 2022","White","May 20 2024 12:00AM","IES Abroad London Direct Enrollment – Queen Mary, University of London","United Kingdom","London","Europe",237395,2022,"Fall","Intend to Participate","F",NA,"2022-2023"
"775","Fall 2022","White","May 20 2024 12:00AM","Institute for Central American Development Studies - Social Justice & Development Internship","Costa Rica","San Jose","Latin America and Caribbean",237521,2022,"Fall","Intend to Participate","F",NA,"2022-2023"
"776","Fall 2022","White","May 22 2023 12:00AM","DIS - Study Abroad in Copenhagen, Denmark","Denmark","Copenhagen","Europe",237908,2022,"Fall","Intend to Participate","M",NA,"2022-2023"
"777","Fall 2022","White","May 22 2023 12:00AM","X - SIT Study Abroad Australia: Sustainability and Environmental Action","Australia","Byron Bay","Oceania",238011,2022,"Fall","Intend to Participate","F",NA,"2022-2023"
"778","Fall 2022","International student","May 22 2023 12:00AM","X - Comedy Studies - Columbia College Chicago ","United States","Chicago, IL","North America",248587,2022,"Fall","Intend to Participate","F",NA,"2022-2023"
"779","Fall 2023","White","May 20 2024 12:00AM","IES Abroad Amsterdam - Social Sciences & Humanities","Netherlands","Amsterdam","Europe",228374,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"780","Fall 2023","White","May 20 2024 12:00AM","DIS - Study Abroad in Copenhagen, Denmark","Denmark","Copenhagen","Europe",235534,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"781","Fall 2023","White","May 19 2025 12:00AM","Carleton Global Engagement: Women's and Gender Studies in Europe","Czech Republic","Olomouc","Europe",254097,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"782","Fall 2023","White","May 19 2025 12:00AM","Carleton Global Engagement: Women's and Gender Studies in Europe","Czech Republic","Prague","Europe",254097,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"783","Fall 2023","White","May 19 2025 12:00AM","Carleton Global Engagement: Women's and Gender Studies in Europe","Germany","Berlin","Europe",254097,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"784","Fall 2023","White","May 19 2025 12:00AM","Carleton Global Engagement: Women's and Gender Studies in Europe","Netherlands","Utrecht","Europe",254097,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"785","Fall 2023","Black or African-American","May 20 2024 12:00AM","Spelman College","United States","Atlanta, GA","North America",254212,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"786","Fall 2023","White","May 19 2025 12:00AM","Syracuse University Abroad - Exploring Central Europe: History, Memory, and Identity Across Borders","Poland","Wroclaw","Europe",254328,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"787","Fall 2023","White","May 20 2024 12:00AM","Amideast in Jordan - Area and Arabic Language Studies (Semester/Academic Year)","Jordan","Amman","MENA",254379,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"788","Fall 2023","White","May 19 2025 12:00AM","IES Abroad Tokyo - Language & Culture","Japan","Tokyo","Asia",254512,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"789","Fall 2023","White","May 19 2025 12:00AM","DIS - Study Abroad in Copenhagen, Denmark","Denmark","Copenhagen","Europe",254875,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"790","Fall 2023","Two or more races","May 19 2025 12:00AM","IES Abroad Amsterdam - Psychology & Sciences","Netherlands","Amsterdam","Europe",255020,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"791","Fall 2023","White","May 19 2025 12:00AM","IES Abroad Santiago – Health Studies","Chile","Santiago","Latin America and Caribbean",255102,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"792","Fall 2023","White","Dec 15 2023 12:00AM","IES Abroad Quito - Area Studies & Language","Ecuador","Quito","Latin America and Caribbean",255408,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"793","Fall 2023","White","May 19 2025 12:00AM","The School for Field Studies - Marine Resource Management Studies","Turks and Caicos Islands","Cockburn Harbor","Latin America and Caribbean",255780,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"794","Fall 2023","International student","May 19 2025 12:00AM","Arcadia Abroad - Goldsmiths, University of London","United Kingdom","London","Europe",255914,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"795","Fall 2023","White","May 19 2025 12:00AM","X - SIT IHP Cities in the 21st Century: People, Planning and Politics (Fall)","Argentina","Buenos Aires","Latin America and Caribbean",256504,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"796","Fall 2023","White","May 19 2025 12:00AM","X - SIT IHP Cities in the 21st Century: People, Planning and Politics (Fall)","South Africa","Cape Town","Sub-Saharan Africa",256504,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"797","Fall 2023","White","May 19 2025 12:00AM","X - SIT IHP Cities in the 21st Century: People, Planning and Politics (Fall)","Spain","Barcelona","Europe",256504,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"798","Fall 2023","White","May 19 2025 12:00AM","X - SIT IHP Cities in the 21st Century: People, Planning and Politics (Fall)","United States","New York, NY","North America",256504,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"799","Fall 2023","White","May 19 2025 12:00AM","Arcadia Abroad - University of Otago","New Zealand","Dunedin","Oceania",257472,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"800","Fall 2023","International student","Dec 20 2024 12:00AM","IES Abroad London Direct Enrollment - University College London","United Kingdom","London","Europe",257852,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"801","Fall 2023","White","May 19 2025 12:00AM","The Swedish Program","Sweden","Stockholm","Europe",257917,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"802","Fall 2023","White","May 19 2025 12:00AM","The Swedish Program","Sweden","Stockholm","Europe",257974,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"803","Fall 2023","International student","Dec 20 2024 12:00AM","Aquincum Institute of Technology","Hungary","Budapest","Europe",258471,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"804","Fall 2023","White","May 19 2025 12:00AM","IES Abroad Salamanca - Study in Salamanca","Spain","Salamanca","Europe",258511,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"805","Fall 2023","International student","May 20 2024 12:00AM","CIEE Liberal Arts Program in Buenos Aires, Argentina","Argentina","Buenos Aires","Latin America and Caribbean",258607,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"806","Fall 2023","White","May 19 2025 12:00AM","Carleton Global Engagement: Women's and Gender Studies in Europe","Czech Republic","Olomouc","Europe",259040,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"807","Fall 2023","White","May 19 2025 12:00AM","Carleton Global Engagement: Women's and Gender Studies in Europe","Czech Republic","Prague","Europe",259040,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"808","Fall 2023","White","May 19 2025 12:00AM","Carleton Global Engagement: Women's and Gender Studies in Europe","Germany","Berlin","Europe",259040,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"809","Fall 2023","White","May 19 2025 12:00AM","Carleton Global Engagement: Women's and Gender Studies in Europe","Netherlands","Utrecht","Europe",259040,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"810","Fall 2023","White","May 19 2025 12:00AM","University of Minnesota: MSID Thailand","Thailand","Chiang Mai","Asia",259064,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"811","Fall 2023","Hispanic (of any race)","May 19 2025 12:00AM","DIS - Study Abroad in Copenhagen, Denmark","Denmark","Copenhagen","Europe",259331,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"812","Fall 2023","White","May 20 2024 12:00AM","DIS - Study Abroad in Copenhagen, Denmark","Denmark","Copenhagen","Europe",259620,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"813","Fall 2023","Black or African-American","May 19 2025 12:00AM","DIS - Study Abroad in Copenhagen, Denmark","Denmark","Copenhagen","Europe",259748,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"814","Fall 2023","White","May 19 2025 12:00AM","SIT Study Abroad Serbia, Austria, & Hungary: Comparative European Perspectives on Conflict & Democracy","Austria","Vienna","Europe",259786,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"815","Fall 2023","White","May 19 2025 12:00AM","SIT Study Abroad Serbia, Austria, & Hungary: Comparative European Perspectives on Conflict & Democracy","Hungary","Budapest","Europe",259786,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"816","Fall 2023","White","May 19 2025 12:00AM","SIT Study Abroad Serbia, Austria, & Hungary: Comparative European Perspectives on Conflict & Democracy","Serbia","Belgrade","Europe",259786,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"817","Fall 2023","White","May 19 2025 12:00AM","SIT Study Abroad Serbia, Austria, & Hungary: Comparative European Perspectives on Conflict & Democracy","Slovakia","Bratislava","Europe",259786,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"818","Fall 2023","White","May 19 2025 12:00AM","Wellesley-in-Aix","France","Aix-en-Provence","Europe",259948,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"819","Fall 2023","International student","May 20 2024 12:00AM","CIEE Arts and Sciences Program in Seoul, Korea","South Korea","Seoul","Asia",260178,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"820","Fall 2023","White","May 20 2024 12:00AM","Middlebury School in Cameroon: Yaoundé","Cameroon","Yaounde","Sub-Saharan Africa",260297,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"821","Fall 2023","White","May 19 2025 12:00AM","Carleton Global Engagement: Women's and Gender Studies in Europe","Czech Republic","Olomouc","Europe",260436,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"822","Fall 2023","White","May 19 2025 12:00AM","Carleton Global Engagement: Women's and Gender Studies in Europe","Czech Republic","Prague","Europe",260436,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"823","Fall 2023","White","May 19 2025 12:00AM","Carleton Global Engagement: Women's and Gender Studies in Europe","Germany","Berlin","Europe",260436,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"824","Fall 2023","White","May 19 2025 12:00AM","Carleton Global Engagement: Women's and Gender Studies in Europe","Netherlands","Utrecht","Europe",260436,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"825","Fall 2023","White","May 19 2025 12:00AM","DIS - Study Abroad in Copenhagen, Denmark","Denmark","Copenhagen","Europe",260636,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"826","Fall 2023","International student","May 19 2025 12:00AM","Leiden University College","Netherlands","The Hague","Europe",260679,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"827","Fall 2023","White","Dec 20 2024 12:00AM","Institute for Central American Development Studies - Field Program in Environment & Sustainable Development","Costa Rica","San Jose","Latin America and Caribbean",260749,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"828","Fall 2023","Asian","May 20 2024 12:00AM","IES Abroad Nagoya Direct Enrollment - Nanzan University","Japan","Nagoya","Asia",260754,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"829","Fall 2023","Asian","May 19 2025 12:00AM","The Swedish Program","Sweden","Stockholm","Europe",261523,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"830","Fall 2023","White","May 19 2025 12:00AM","Carleton Global Engagement: Buddhist Studies in India","India","Bodh Gaya","Asia",261706,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"831","Fall 2023","White","May 19 2025 12:00AM","Carleton Global Engagement: Buddhist Studies in India","Thailand","Chiang Mai","Asia",261706,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"832","Fall 2023","White","May 20 2024 12:00AM","SRAS Bishkek: Central Asian Studies","Kyrgyzstan","Bishkek","Asia",261773,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"833","Fall 2023","International student","May 20 2024 12:00AM","Aquincum Institute of Technology","Hungary","Budapest","Europe",261873,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"834","Fall 2023","International student","Dec 20 2024 12:00AM","Budapest Semesters in Math","Hungary","Budapest","Europe",261929,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"835","Fall 2023","Hispanic (of any race)","May 19 2025 12:00AM","CIEE Arts and Sciences Program in Legon, Ghana","Ghana","Legon","Sub-Saharan Africa",262252,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"836","Fall 2023","White","May 20 2024 12:00AM","IES Abroad Milan – Music: Voice, Composition & Instrumental","Italy","Milan","Europe",262254,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"837","Fall 2023","Ethnicity and race unknown","May 20 2024 12:00AM","Arcadia Abroad - University of Otago","New Zealand","Dunedin","Oceania",262403,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"838","Fall 2023","White","May 19 2025 12:00AM","Carleton Global Engagement: Buddhist Studies in India","India","Bodh Gaya","Asia",262462,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"839","Fall 2023","White","May 19 2025 12:00AM","Carleton Global Engagement: Buddhist Studies in India","Thailand","Chiang Mai","Asia",262462,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"840","Fall 2023","White","Dec 15 2023 12:00AM","CET Prague Film Production","Czech Republic","Prague","Europe",262656,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"841","Fall 2023","White","May 19 2025 12:00AM","DIS - Study Abroad in Copenhagen, Denmark","Denmark","Copenhagen","Europe",263003,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"842","Fall 2023","International student","May 20 2024 12:00AM","Aquincum Institute of Technology","Hungary","Budapest","Europe",263168,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"843","Fall 2023","White","May 19 2025 12:00AM","X - IES Abroad Paris - Business & International Affairs","France","Paris","Europe",263342,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"844","Fall 2023","White","May 19 2025 12:00AM","DIS - Study Abroad in Copenhagen, Denmark","Denmark","Copenhagen","Europe",263414,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"845","Fall 2023","White","May 20 2024 12:00AM","CET Prague Film Production","Czech Republic","Prague","Europe",263455,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"846","Fall 2023","Asian","May 19 2025 12:00AM","College Year in Athens - Semester and Academic Year Program","Greece","Athens","Europe",263517,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"847","Fall 2023","Ethnicity and race unknown","May 19 2025 12:00AM","IES Abroad London Direct Enrollment – Queen Mary, University of London","United Kingdom","London","Europe",263832,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"848","Fall 2023","White","May 19 2025 12:00AM","SIT Study Abroad Chile: Cultural Identity, Social Justice, and Community Development","Chile","Arica","Latin America and Caribbean",263871,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"849","Fall 2023","White","May 19 2025 12:00AM","SIT Study Abroad Chile: Cultural Identity, Social Justice, and Community Development","Chile","Santiago","Latin America and Caribbean",263871,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"850","Fall 2023","White","May 19 2025 12:00AM","SIT Study Abroad Chile: Cultural Identity, Social Justice, and Community Development","Chile","Valparaiso","Latin America and Caribbean",263871,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"851","Fall 2023","White","Dec 15 2023 12:00AM","IES Abroad London Direct Enrollment – Queen Mary, University of London","United Kingdom","London","Europe",264019,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"852","Fall 2023","Two or more races","May 19 2025 12:00AM","IES Abroad Granada - Study in Granada","Spain","Granada","Europe",264085,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"853","Fall 2023","Hispanic (of any race)","May 20 2024 12:00AM","IES Abroad Madrid - Language & Area Studies","Spain","Madrid","Europe",264136,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"854","Fall 2023","White","May 19 2025 12:00AM","Carleton Global Engagement: Women's and Gender Studies in Europe","Czech Republic","Olomouc","Europe",264489,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"855","Fall 2023","White","May 19 2025 12:00AM","Carleton Global Engagement: Women's and Gender Studies in Europe","Czech Republic","Prague","Europe",264489,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"856","Fall 2023","White","May 19 2025 12:00AM","Carleton Global Engagement: Women's and Gender Studies in Europe","Germany","Berlin","Europe",264489,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"857","Fall 2023","White","May 19 2025 12:00AM","Carleton Global Engagement: Women's and Gender Studies in Europe","Netherlands","Utrecht","Europe",264489,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"858","Fall 2023","White","May 19 2025 12:00AM","IES Abroad Berlin - Metropolitan & Urban Studies","Germany","Berlin","Europe",264643,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"859","Fall 2023","White","May 19 2025 12:00AM","DIS - Study Abroad in Copenhagen, Denmark","Denmark","Copenhagen","Europe",264773,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"860","Fall 2023","Asian","May 20 2024 12:00AM","DIS - Study Abroad in Copenhagen, Denmark","Denmark","Copenhagen","Europe",264875,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"861","Fall 2023","White","May 20 2024 12:00AM","CET Prague Film Production","Czech Republic","Prague","Europe",265059,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"862","Fall 2023","Asian","May 19 2025 12:00AM","IES Abroad Tokyo - Language & Culture","Japan","Tokyo","Asia",265065,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"863","Fall 2023","Asian","May 19 2025 12:00AM","IES Abroad Tokyo - Language & Culture","Japan","Tokyo","Asia",265066,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"864","Fall 2023","International student","May 19 2025 12:00AM","IES Abroad London Direct Enrollment – Queen Mary, University of London","United Kingdom","London","Europe",265088,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"865","Fall 2023","White","May 19 2025 12:00AM","CET Prague","Czech Republic","Prague","Europe",265265,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"866","Fall 2023","White","May 20 2024 12:00AM","SIT Study Abroad Vietnam: Culture, Social Change, and Development","Vietnam","Ho Chi Minh City","Asia",265541,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"867","Fall 2023","Hispanic (of any race)","May 19 2025 12:00AM","X - SIT Study Abroad Ecuador: Comparative Ecology and Conservation","Ecuador","Galapagos","Latin America and Caribbean",265619,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"868","Fall 2023","Hispanic (of any race)","May 19 2025 12:00AM","X - SIT Study Abroad Ecuador: Comparative Ecology and Conservation","Ecuador","Quito","Latin America and Caribbean",265619,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"869","Fall 2023","White","May 20 2024 12:00AM","Arcadia Abroad - University of Otago","New Zealand","Dunedin","Oceania",265797,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"870","Fall 2023","White","May 19 2025 12:00AM","DIS - Study Abroad in Copenhagen, Denmark","Denmark","Copenhagen","Europe",266176,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"871","Fall 2023","White","May 19 2025 12:00AM","IES Abroad Amsterdam - Psychology & Sciences","Netherlands","Amsterdam","Europe",266219,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"872","Fall 2023","White","May 19 2025 12:00AM","Aquincum Institute of Technology","Hungary","Budapest","Europe",266284,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"873","Fall 2023","White","May 19 2025 12:00AM","IES Abroad Amsterdam - Social Sciences & Humanities","Netherlands","Amsterdam","Europe",266388,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"874","Fall 2023","White","May 19 2025 12:00AM","IES Abroad Amsterdam - Psychology & Sciences","Netherlands","Amsterdam","Europe",266914,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"875","Fall 2023","International student","May 19 2025 12:00AM","IES Abroad London Direct Enrollment - University College London","United Kingdom","London","Europe",268124,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"876","Fall 2023","White","May 19 2025 12:00AM","Arcadia Abroad - University of Otago","New Zealand","Dunedin","Oceania",268172,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"877","Fall 2023","White","May 19 2025 12:00AM","Hamilton in France","France","Paris","Europe",268324,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"878","Fall 2023","White","May 19 2025 12:00AM","Arcadia Abroad - University of Edinburgh","United Kingdom","Edinburgh","Europe",268335,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"879","Fall 2023","Two or more races","May 19 2025 12:00AM","DIS - Study Abroad in Copenhagen, Denmark","Denmark","Copenhagen","Europe",268345,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"880","Fall 2023","White","Dec 15 2023 12:00AM","SIT Study Abroad Serbia, Austria, & Hungary: Comparative European Perspectives on Conflict & Democracy","Austria","Vienna","Europe",268400,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"881","Fall 2023","White","Dec 15 2023 12:00AM","SIT Study Abroad Serbia, Austria, & Hungary: Comparative European Perspectives on Conflict & Democracy","Hungary","Budapest","Europe",268400,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"882","Fall 2023","White","Dec 15 2023 12:00AM","SIT Study Abroad Serbia, Austria, & Hungary: Comparative European Perspectives on Conflict & Democracy","Serbia","Belgrade","Europe",268400,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"883","Fall 2023","White","Dec 15 2023 12:00AM","SIT Study Abroad Serbia, Austria, & Hungary: Comparative European Perspectives on Conflict & Democracy","Slovakia","Bratislava","Europe",268400,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"884","Fall 2023","Asian","May 20 2024 12:00AM","CET Prague Film Production","Czech Republic","Prague","Europe",268564,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"885","Fall 2023","White","May 19 2025 12:00AM","IES Abroad Nantes - Study in Nantes","France","Nantes","Europe",268584,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"886","Fall 2023","White","May 20 2024 12:00AM","The School for Field Studies - Bhutan: Himalayan Environment and Society in Transition","Bhutan","Paro","Asia",268652,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"887","Fall 2023","White","May 19 2025 12:00AM","The School for Field Studies - Marine Resource Management Studies","Turks and Caicos Islands","Cockburn Harbor","Latin America and Caribbean",268923,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"888","Fall 2023","White","May 20 2024 12:00AM","American University - Washington Semester Program","United States","Washington, D.C.","North America",269237,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"889","Fall 2023","Black or African-American","May 19 2025 12:00AM","IES Abroad Nantes - Study in Nantes","France","Nantes","Europe",269264,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"890","Fall 2023","White","May 20 2024 12:00AM","IES Abroad Amsterdam - Psychology & Sciences","Netherlands","Amsterdam","Europe",269332,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"891","Fall 2023","Hispanic (of any race)","May 20 2024 12:00AM","DIS - Study Abroad in Copenhagen, Denmark","Denmark","Copenhagen","Europe",269445,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"892","Fall 2023","International student","May 19 2025 12:00AM","Arcadia Abroad - University of New South Wales","Australia","Sydney","Oceania",269792,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"893","Fall 2023","White","May 19 2025 12:00AM","Sea Education Association: Climate and Society: Aotearoa New Zealand","New Zealand","Auckland","Oceania",271517,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"894","Fall 2023","White","May 19 2025 12:00AM","Sea Education Association: Climate and Society: Aotearoa New Zealand","United States","Woods Hole, MA","North America",271517,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"895","Fall 2023","Two or more races","May 19 2025 12:00AM","Arcadia Abroad - University of New South Wales","Australia","Sydney","Oceania",272017,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"896","Fall 2023","White","May 19 2025 12:00AM","IES Abroad Santiago – Health Studies","Chile","Santiago","Latin America and Caribbean",272340,2023,"Fall","Intend to Participate","F",NA,"2023-2024"
"897","Fall 2023","Two or more races","Dec 15 2023 12:00AM","IES Abroad Tokyo - Language & Culture","Japan","Tokyo","Asia",274023,2023,"Fall","Intend to Participate","M",NA,"2023-2024"
"898","Spring 2017","Hispanic (of any race)","May 21 2018 12:00AM","DIS - Study Abroad in Copenhagen, Denmark","Denmark","Copenhagen","Europe",28399,2017,"Spring","Approved","F",NA,"2016-2017"
"899","Spring 2017","White","May 21 2018 12:00AM","IES Abroad Granada - Study in Granada","Spain","Granada","Europe",28401,2017,"Spring","Approved","M",NA,"2016-2017"
"900","Spring 2017","White","May 21 2018 12:00AM","IES Abroad Nantes - Study in Nantes","France","Nantes","Europe",28402,2017,"Spring","Approved","M",NA,"2016-2017"
"901","Spring 2017","Black or African-American","May 21 2018 12:00AM","DIS - Study Abroad in Copenhagen, Denmark","Denmark","Copenhagen","Europe",28404,2017,"Spring","Approved","F",NA,"2016-2017"
"902","Spring 2017","Hispanic (of any race)","May 21 2018 12:00AM","X - IES Abroad Santiago - Study in Santiago","Chile","Santiago","Latin America and Caribbean",28405,2017,"Spring","Approved","F",NA,"2016-2017"
"903","Spring 2017","White","May 21 2018 12:00AM","IES Abroad European Union","Germany","Freiburg","Europe",28406,2017,"Spring","Approved","M",NA,"2016-2017"
"904","Spring 2017","Hispanic (of any race)","May 21 2018 12:00AM","X - ACM India: Development Studies & Hindi Language","India","Jaipur","Asia",28407,2017,"Spring","Approved","M",NA,"2016-2017"
