App Cycle,Ethnicity,Anticipated Completion Date,Program Name,Program Country,Program City,Program Region,Application ID,Program Year,Program Term,Application Status Alias,Gender,Preferred gender
Fall 2018,Asian,May 18 2020 12:00AM,*<B>Grinnell-in-London</B>,United Kingdom,London,Europe,82020,2018,Fall,Intend to Participate,F,
Fall 2018,Asian,May 18 2020 12:00AM,*<B>Grinnell-in-London</B>,United Kingdom,undefined,Europe,82020,2018,Fall,Intend to Participate,F,
Fall 2018,Asian,May 18 2020 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,82111,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,82113,2018,Fall,Intend to Participate,M,
Fall 2018,Non-resident alien,May 18 2020 12:00AM,X - CET Florence,Italy,Florence,Europe,82275,2018,Fall,Intend to Participate,F,
Fall 2018,Non-resident alien,May 18 2020 12:00AM,"IES Abroad Milan – Music: Voice, Composition & Instrumental",Italy,Milan,Europe,82593,2018,Fall,Intend to Participate,M,
Fall 2018,White,May 18 2020 12:00AM,Arcadia Abroad - University of Otago,New Zealand,Dunedin,Oceania,82623,2018,Fall,Intend to Participate,M,
Fall 2018,Non-resident alien,May 18 2020 12:00AM,IES Abroad Nagoya Direct Enrollment - Nanzan University,Japan,Nagoya,East Asia,82627,2018,Fall,Intend to Participate,M,
Fall 2018,White,May 18 2020 12:00AM,X - ACM Costa Rica: Community Engagement,Costa Rica,San Jose,Latin America,82643,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,IES Abroad Madrid - Language & Area Studies,Spain,Madrid,Europe,82655,2018,Fall,Intend to Participate,F,
Fall 2018,Hispanic (of any race),May 20 2019 12:00AM,Arcadia Abroad - University of Otago,New Zealand,Dunedin,Oceania,82667,2018,Fall,Intend to Participate,M,
Fall 2018,White,May 18 2020 12:00AM,Arcadia Abroad - University of Otago,New Zealand,Dunedin,Oceania,82668,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,*<B>Grinnell-in-London</B>,United Kingdom,London,Europe,82673,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,*<B>Grinnell-in-London</B>,United Kingdom,undefined,Europe,82673,2018,Fall,Intend to Participate,F,
Fall 2018,White,Dec 20 2019 12:00AM,Institute for Central American Development Studies - Field Program in Environment & Sustainable Development,Costa Rica,San Jose,Latin America,82679,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,Middlebury School in China: Hangzhou,China,Hangzhou,East Asia,82758,2018,Fall,Intend to Participate,F,
Fall 2018,Ethnicity and race unknown,May 18 2020 12:00AM,X - ACM Tanzania: Ecology & Human Origins,Tanzania,Arusha,Sub-Saharan Africa,82759,2018,Fall,Intend to Participate,M,
Fall 2018,Non-resident alien,May 20 2019 12:00AM,ACM Oak Ridge Science Semester,United States,"Oak Ridge, TN",North America,82791,2018,Fall,Intend to Participate,M,
Fall 2018,White,May 20 2019 12:00AM,SIT Study Abroad South Africa: International Relations in the Global South,South Africa,Cape Town,Sub-Saharan Africa,82795,2018,Fall,Intend to Participate,M,
Fall 2018,White,May 20 2019 12:00AM,SIT Study Abroad South Africa: International Relations in the Global South,South Africa,Durban,Sub-Saharan Africa,82795,2018,Fall,Intend to Participate,M,
Fall 2018,White,May 18 2020 12:00AM,Carleton Global Engagement: Women's and Gender Studies in Europe,Czech Republic,Olomouc,Europe,82801,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,Carleton Global Engagement: Women's and Gender Studies in Europe,Czech Republic,Prague,Europe,82801,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,Carleton Global Engagement: Women's and Gender Studies in Europe,Germany,Berlin,Europe,82801,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,Carleton Global Engagement: Women's and Gender Studies in Europe,Netherlands,Utrecht,Europe,82801,2018,Fall,Intend to Participate,F,
Fall 2018,Ethnicity and race unknown,May 18 2020 12:00AM,College Year in Athens - Semester and Academic Year Program,Greece,Athens,Europe,82806,2018,Fall,Intend to Participate,M,
Fall 2018,White,May 18 2020 12:00AM,"X - ACM Amsterdam: Sciences, Global Health and Interdisciplinary at VU",Netherlands,Amsterdam,Europe,82845,2018,Fall,Intend to Participate,F,
Fall 2018,Non-resident alien,May 18 2020 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,82846,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,"SIT Study Abroad/ IHP Human Rights Movements, Power, and Resistance",Chile,Santiago,Latin America,82848,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,"SIT Study Abroad/ IHP Human Rights Movements, Power, and Resistance",Jordan,Amman,MENA,82848,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,"SIT Study Abroad/ IHP Human Rights Movements, Power, and Resistance",Nepal,Kathmandu,South Asia,82848,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,"SIT Study Abroad/ IHP Human Rights Movements, Power, and Resistance",United States,"New York, NY",North America,82848,2018,Fall,Intend to Participate,F,
Fall 2018,Non-resident alien,May 18 2020 12:00AM,X - ACM Chicago Program,United States,"Chicago, IL",North America,82870,2018,Fall,Intend to Participate,M,
Fall 2018,Non-resident alien,May 18 2020 12:00AM,X - The Swedish Program: Liberal Arts at the Stockholm School of Economics,Sweden,Stockholm,Europe,82902,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,Arcadia Abroad - Queens University Belfast,Ireland,Belfast,Europe,82918,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,ACTR Advanced Russian Language & Area Studies Moscow (RLASP),Russia,Moscow,Europe,82951,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,"IES Abroad Milan – Music: Voice, Composition & Instrumental",Italy,Milan,Europe,83006,2018,Fall,Intend to Participate,M,
Fall 2018,Non-resident alien,May 18 2020 12:00AM,CET Prague,Czech Republic,Prague,Europe,83034,2018,Fall,Intend to Participate,M,
Fall 2018,Non-resident alien,May 18 2020 12:00AM,Aquincum Institute of Technology,Hungary,Budapest,Europe,83038,2018,Fall,Intend to Participate,M,
Fall 2018,White,May 18 2020 12:00AM,IES Abroad Cape Town - University of Cape Town,South Africa,Cape Town,Sub-Saharan Africa,83091,2018,Fall,Intend to Participate,M,
Fall 2018,White,May 18 2020 12:00AM,"IES Abroad Milan – Music: Voice, Composition & Instrumental",Italy,Milan,Europe,83123,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,Aquincum Institute of Technology,Hungary,Budapest,Europe,83130,2018,Fall,Intend to Participate,M,
Fall 2018,Non-resident alien,May 20 2019 12:00AM,Wellesley-in-Aix,France,Aix-en-Provence,Europe,83174,2018,Fall,Intend to Participate,F,
Fall 2018,Asian,May 18 2020 12:00AM,X - ACM Tanzania: Ecology & Human Origins,Tanzania,Arusha,Sub-Saharan Africa,83219,2018,Fall,Intend to Participate,M,
Fall 2018,Non-resident alien,May 18 2020 12:00AM,Aquincum Institute of Technology,Hungary,Budapest,Europe,83331,2018,Fall,Intend to Participate,M,
Fall 2018,Black or African-American,May 18 2020 12:00AM,"CIEE Arts and Sciences Program in Seoul, Korea",South Korea,Seoul,East Asia,83355,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,SIT Study Abroad South Africa: Multiculturalism and Human Rights,South Africa,Cape Town,Sub-Saharan Africa,83370,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,SIT Study Abroad South Africa: Multiculturalism and Human Rights,South Africa,Johannesburg,Sub-Saharan Africa,83370,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,X - IES Abroad Dublin – Writer's Program,Ireland,Dublin,Europe,83426,2018,Fall,Intend to Participate,F,
Fall 2018,Non-resident alien,May 18 2020 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,83539,2018,Fall,Intend to Participate,F,
Fall 2018,Two or more races,May 18 2020 12:00AM,X - The School for Field Studies - Wildlife Management Studies,Tanzania,Moyo Hill Camp,Sub-Saharan Africa,83598,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,"X - ACM Amsterdam: Sciences, Global Health and Interdisciplinary at VU",Netherlands,Amsterdam,Europe,83599,2018,Fall,Intend to Participate,M,
Fall 2018,Asian,May 18 2020 12:00AM,IFSA - IFSA Study in Shanghai: International Business,China,Shanghai,East Asia,83634,2018,Fall,Intend to Participate,M,
Fall 2018,White,May 18 2020 12:00AM,Wellesley-in-Aix,France,Aix-en-Provence,Europe,83635,2018,Fall,Intend to Participate,F,
Fall 2018,Asian,May 18 2020 12:00AM,"CIEE Arts and Sciences Program in Seoul, Korea",South Korea,Seoul,East Asia,83642,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 20 2019 12:00AM,Marine Biological Laboratory - Semester in Environmental Science,United States,"Woods Hole, MA",North America,83653,2018,Fall,Intend to Participate,M,
Fall 2018,White,May 20 2019 12:00AM,Aquincum Institute of Technology,Hungary,Budapest,Europe,83718,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,CET Prague,Czech Republic,Prague,Europe,83747,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,X - IES Abroad Santiago - Study in Santiago,Chile,Santiago,Latin America,83795,2018,Fall,Intend to Participate,F,
Fall 2018,Non-resident alien,May 18 2020 12:00AM,Aquincum Institute of Technology,Hungary,Budapest,Europe,83809,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,Aquincum Institute of Technology,Hungary,Budapest,Europe,83826,2018,Fall,Intend to Participate,M,
Fall 2018,White,May 18 2020 12:00AM,Arcadia Abroad - University of Otago,New Zealand,Dunedin,Oceania,83828,2018,Fall,Intend to Participate,M,
Fall 2018,White,May 18 2020 12:00AM,SIT Study Abroad South Africa: International Relations in the Global South,South Africa,Cape Town,Sub-Saharan Africa,83832,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,SIT Study Abroad South Africa: International Relations in the Global South,South Africa,Durban,Sub-Saharan Africa,83832,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,Wellesley-in-Aix,France,Aix-en-Provence,Europe,83833,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,83834,2018,Fall,Intend to Participate,F,
Fall 2018,Non-resident alien,May 18 2020 12:00AM,"Arcadia Abroad - Goldsmiths, University of London",United Kingdom,London,Europe,83835,2018,Fall,Intend to Participate,M,
Fall 2018,White,May 18 2020 12:00AM,Wellesley-in-Aix,France,Aix-en-Provence,Europe,83837,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,Carleton Global Engagement: Women's and Gender Studies in Europe,Czech Republic,Olomouc,Europe,83876,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,Carleton Global Engagement: Women's and Gender Studies in Europe,Czech Republic,Prague,Europe,83876,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,Carleton Global Engagement: Women's and Gender Studies in Europe,Germany,Berlin,Europe,83876,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,Carleton Global Engagement: Women's and Gender Studies in Europe,Netherlands,Utrecht,Europe,83876,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,"Arcadia Abroad - Goldsmiths, University of London",United Kingdom,London,Europe,83883,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,IES Abroad Cape Town - University of Cape Town,South Africa,Cape Town,Sub-Saharan Africa,83885,2018,Fall,Intend to Participate,M,
Fall 2018,White,May 18 2020 12:00AM,"IES Abroad Milan – Music: Voice, Composition & Instrumental",Italy,Milan,Europe,83890,2018,Fall,Intend to Participate,M,
Fall 2018,Black or African-American,May 18 2020 12:00AM,"Syracuse University Abroad - Exploring Central Europe: History, Memory, and Identity Across Borders",Poland,Wroclaw,Europe,83895,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,Arcadia Abroad - Queens University Belfast,Ireland,Belfast,Europe,83910,2018,Fall,Intend to Participate,M,
Fall 2018,White,May 18 2020 12:00AM,X - Bard Abroad Central European University in Budapest,Hungary,Budapest,Europe,83918,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,Leiden University College,Netherlands,The Hague,Europe,83926,2018,Fall,Intend to Participate,F,
Fall 2018,Black or African-American,May 18 2020 12:00AM,CET Prague Film Production,Czech Republic,Prague,Europe,83941,2018,Fall,Intend to Participate,F,
Fall 2018,Ethnicity and race unknown,May 18 2020 12:00AM,Aquincum Institute of Technology,Hungary,Budapest,Europe,83958,2018,Fall,Intend to Participate,M,
Fall 2018,Hispanic (of any race),May 18 2020 12:00AM,SIT Study Abroad South Africa: International Relations in the Global South,South Africa,Cape Town,Sub-Saharan Africa,83967,2018,Fall,Intend to Participate,F,
Fall 2018,Hispanic (of any race),May 18 2020 12:00AM,SIT Study Abroad South Africa: International Relations in the Global South,South Africa,Durban,Sub-Saharan Africa,83967,2018,Fall,Intend to Participate,F,
Fall 2018,Ethnicity and race unknown,May 18 2020 12:00AM,"DIS - Study Abroad in Stockholm, Sweden",Sweden,Stockholm,Europe,83976,2018,Fall,Intend to Participate,F,
Fall 2018,Non-resident alien,May 18 2020 12:00AM,IES Abroad Cape Town - University of Cape Town,South Africa,Cape Town,Sub-Saharan Africa,83986,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,Carleton Global Engagement: Buddhist Studies in India,India,Bodh Gaya,South Asia,83987,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,Carleton Global Engagement: Buddhist Studies in India,Thailand,Chiang Mai,Asia,83987,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,ACM Newberry Seminar: Research in the Humanities,United States,"Chicago, IL",North America,84111,2018,Fall,Intend to Participate,M,
Fall 2018,White,May 20 2019 12:00AM,X - The School for Field Studies – Panama: Tropical Island Biodiversity Studies,Panama,Bocas del Toro,Latin America,84153,2018,Fall,Intend to Participate,M,
Fall 2018,Ethnicity and race unknown,May 18 2020 12:00AM,"SIT Study Abroad Serbia, Austria, & Hungary: Comparative European Perspectives on Conflict & Democracy",Austria,Vienna,Europe,84162,2018,Fall,Intend to Participate,F,
Fall 2018,Ethnicity and race unknown,May 18 2020 12:00AM,"SIT Study Abroad Serbia, Austria, & Hungary: Comparative European Perspectives on Conflict & Democracy",Hungary,Budapest,Europe,84162,2018,Fall,Intend to Participate,F,
Fall 2018,Ethnicity and race unknown,May 18 2020 12:00AM,"SIT Study Abroad Serbia, Austria, & Hungary: Comparative European Perspectives on Conflict & Democracy",Serbia,Belgrade,Europe,84162,2018,Fall,Intend to Participate,F,
Fall 2018,Ethnicity and race unknown,May 18 2020 12:00AM,"SIT Study Abroad Serbia, Austria, & Hungary: Comparative European Perspectives on Conflict & Democracy",Slovakia,Bratislava,Europe,84162,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,"X - HECUA Sustainable Agriculture, Food, and Justice in Italy",Italy,Florence,Europe,84323,2018,Fall,Intend to Participate,F,
Fall 2018,Non-resident alien,Dec 20 2019 12:00AM,"Arcadia Abroad - Goldsmiths, University of London",United Kingdom,London,Europe,84324,2018,Fall,Intend to Participate,M,
Fall 2018,Non-resident alien,May 18 2020 12:00AM,"Arcadia Abroad - Goldsmiths, University of London",United Kingdom,London,Europe,84327,2018,Fall,Intend to Participate,M,
Fall 2018,White,May 18 2020 12:00AM,"Arcadia Abroad - Goldsmiths, University of London",United Kingdom,London,Europe,84328,2018,Fall,Intend to Participate,F,
Fall 2018,Non-resident alien,May 18 2020 12:00AM,IES Abroad Amsterdam - Business & Economics,Netherlands,Amsterdam,Europe,84331,2018,Fall,Intend to Participate,F,
Fall 2018,Asian,May 18 2020 12:00AM,X - CET Vietnam,Vietnam,Ho Chi Minh City,Southeast Asia,84342,2018,Fall,Intend to Participate,F,
Fall 2018,Asian,May 18 2020 12:00AM,IES Abroad Cape Town - University of Cape Town,South Africa,Cape Town,Sub-Saharan Africa,84581,2018,Fall,Intend to Participate,F,
Fall 2018,Hispanic (of any race),May 18 2020 12:00AM,*<B>Grinnell-in-London</B>,United Kingdom,London,Europe,85388,2018,Fall,Intend to Participate,M,
Fall 2018,Hispanic (of any race),May 18 2020 12:00AM,*<B>Grinnell-in-London</B>,United Kingdom,undefined,Europe,85388,2018,Fall,Intend to Participate,M,
Fall 2018,Hispanic (of any race),May 20 2019 12:00AM,*<B>Grinnell-in-London</B>,United Kingdom,London,Europe,86151,2018,Fall,Intend to Participate,M,
Fall 2018,Hispanic (of any race),May 20 2019 12:00AM,*<B>Grinnell-in-London</B>,United Kingdom,undefined,Europe,86151,2018,Fall,Intend to Participate,M,
Fall 2018,Ethnicity and race unknown,May 18 2020 12:00AM,*<B>Grinnell-in-London</B>,United Kingdom,London,Europe,87668,2018,Fall,Intend to Participate,M,
Fall 2018,Ethnicity and race unknown,May 18 2020 12:00AM,*<B>Grinnell-in-London</B>,United Kingdom,undefined,Europe,87668,2018,Fall,Intend to Participate,M,
Fall 2018,White,May 18 2020 12:00AM,*<B>Grinnell-in-London</B>,United Kingdom,London,Europe,87953,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,*<B>Grinnell-in-London</B>,United Kingdom,undefined,Europe,87953,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,*<B>Grinnell-in-London</B>,United Kingdom,London,Europe,89156,2018,Fall,Intend to Participate,M,
Fall 2018,White,May 18 2020 12:00AM,*<B>Grinnell-in-London</B>,United Kingdom,undefined,Europe,89156,2018,Fall,Intend to Participate,M,
Fall 2018,Non-resident alien,May 18 2020 12:00AM,*<B>Grinnell-in-London</B>,United Kingdom,London,Europe,90091,2018,Fall,Intend to Participate,F,
Fall 2018,Non-resident alien,May 18 2020 12:00AM,*<B>Grinnell-in-London</B>,United Kingdom,undefined,Europe,90091,2018,Fall,Intend to Participate,F,
Fall 2018,White,May 18 2020 12:00AM,College Year in Athens - Semester and Academic Year Program,Greece,Athens,Europe,98106,2018,Fall,Intend to Participate,M,
Fall 2018,Ethnicity and race unknown,May 20 2019 12:00AM,SIT Study Abroad Morocco: Migration and Transnational Identity,Morocco,Rabat,MENA,103726,2018,Fall,Intend to Participate,F,
Fall 2018,Ethnicity and race unknown,May 20 2019 12:00AM,SIT Study Abroad Morocco: Migration and Transnational Identity,Netherlands,Amsterdam,Europe,103726,2018,Fall,Intend to Participate,F,
Fall 2019,Asian,May 24 2021 12:00AM,"CIEE Art and Sciences Program in Hyderabad, India",India,Hyderabad,South Asia,116064,2019,Fall,Intend to Participate,F,
Fall 2019,Ethnicity and race unknown,May 24 2021 12:00AM,The School for Field Studies - Rainforest to Reef (Australia),Australia,Atherton Tablelands,Oceania,116093,2019,Fall,Intend to Participate,F,
Fall 2019,Black or African-American,May 25 2021 12:00AM,Spelman College,United States,"Atlanta, GA",North America,116593,2019,Fall,Intend to Participate,F,
Fall 2019,Asian,May 24 2021 12:00AM,American University - Washington Semester Program,United States,"Washington, D.C.",North America,116633,2019,Fall,Intend to Participate,F,
Fall 2019,White,May 24 2021 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,117393,2019,Fall,Intend to Participate,M,
Fall 2019,Black or African-American,May 24 2021 12:00AM,"Arcadia Abroad - Goldsmiths, University of London",United Kingdom,London,Europe,117406,2019,Fall,Intend to Participate,F,
Fall 2019,Non-resident alien,May 24 2021 12:00AM,*<B>Grinnell-in-London</B>,United Kingdom,London,Europe,117768,2019,Fall,Intend to Participate,M,
Fall 2019,Non-resident alien,May 24 2021 12:00AM,*<B>Grinnell-in-London</B>,United Kingdom,undefined,Europe,117768,2019,Fall,Intend to Participate,M,
Fall 2019,Non-resident alien,May 18 2020 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,118009,2019,Fall,Intend to Participate,F,
Fall 2019,White,May 24 2021 12:00AM,Arcadia Abroad - Queens University Belfast,Ireland,Belfast,Europe,118471,2019,Fall,Intend to Participate,M,
Fall 2019,Black or African-American,May 25 2021 12:00AM,Middlebury School in China: Hangzhou,China,Hangzhou,East Asia,118511,2019,Fall,Intend to Participate,F,
Fall 2019,White,May 24 2021 12:00AM,Carleton Global Engagement: Women's and Gender Studies in Europe,Czech Republic,Olomouc,Europe,118540,2019,Fall,Intend to Participate,F,
Fall 2019,White,May 24 2021 12:00AM,Carleton Global Engagement: Women's and Gender Studies in Europe,Czech Republic,Prague,Europe,118540,2019,Fall,Intend to Participate,F,
Fall 2019,White,May 24 2021 12:00AM,Carleton Global Engagement: Women's and Gender Studies in Europe,Germany,Berlin,Europe,118540,2019,Fall,Intend to Participate,F,
Fall 2019,White,May 24 2021 12:00AM,Carleton Global Engagement: Women's and Gender Studies in Europe,Netherlands,Utrecht,Europe,118540,2019,Fall,Intend to Participate,F,
Fall 2019,White,May 24 2021 12:00AM,Carleton Global Engagement: Women's and Gender Studies in Europe,Czech Republic,Olomouc,Europe,118676,2019,Fall,Intend to Participate,F,
Fall 2019,White,May 24 2021 12:00AM,Carleton Global Engagement: Women's and Gender Studies in Europe,Czech Republic,Prague,Europe,118676,2019,Fall,Intend to Participate,F,
Fall 2019,White,May 24 2021 12:00AM,Carleton Global Engagement: Women's and Gender Studies in Europe,Germany,Berlin,Europe,118676,2019,Fall,Intend to Participate,F,
Fall 2019,White,May 24 2021 12:00AM,Carleton Global Engagement: Women's and Gender Studies in Europe,Netherlands,Utrecht,Europe,118676,2019,Fall,Intend to Participate,F,
Fall 2019,Asian,May 24 2021 12:00AM,"CIEE Arts and Sciences Program in Seoul, Korea",South Korea,Seoul,East Asia,118814,2019,Fall,Intend to Participate,F,
Fall 2019,Non-resident alien,May 24 2021 12:00AM,IES Abroad Nagoya Direct Enrollment - Nanzan University,Japan,Nagoya,East Asia,118867,2019,Fall,Intend to Participate,F,
Fall 2019,White,May 24 2021 12:00AM,ACM Newberry Seminar: Research in the Humanities,United States,"Chicago, IL",North America,119199,2019,Fall,Intend to Participate,F,
Fall 2019,White,May 24 2021 12:00AM,IFSA - IFSA Merida Universities Program,Mexico,Merida,Latin America,119773,2019,Fall,Intend to Participate,F,
Fall 2019,White,May 24 2021 12:00AM,ACM Newberry Seminar: Research in the Humanities,United States,"Chicago, IL",North America,120104,2019,Fall,Intend to Participate,F,
Fall 2019,White,May 24 2021 12:00AM,*<B>Grinnell-in-London</B>,United Kingdom,London,Europe,120370,2019,Fall,Intend to Participate,M,
Fall 2019,White,May 24 2021 12:00AM,*<B>Grinnell-in-London</B>,United Kingdom,undefined,Europe,120370,2019,Fall,Intend to Participate,M,
Fall 2019,White,May 24 2021 12:00AM,*<B>Grinnell-in-London</B>,United Kingdom,London,Europe,120554,2019,Fall,Intend to Participate,F,
Fall 2019,White,May 24 2021 12:00AM,*<B>Grinnell-in-London</B>,United Kingdom,undefined,Europe,120554,2019,Fall,Intend to Participate,F,
Fall 2019,White,May 24 2021 12:00AM,IES Abroad Nagoya Direct Enrollment - Nanzan University,Japan,Nagoya,East Asia,120572,2019,Fall,Intend to Participate,M,
Fall 2019,Non-resident alien,May 24 2021 12:00AM,*<B>Grinnell-in-London</B>,United Kingdom,London,Europe,120885,2019,Fall,Intend to Participate,F,
Fall 2019,Non-resident alien,May 24 2021 12:00AM,*<B>Grinnell-in-London</B>,United Kingdom,undefined,Europe,120885,2019,Fall,Intend to Participate,F,
Fall 2019,White,May 24 2021 12:00AM,The School for Field Studies - Bhutan: Himalayan Environment and Society in Transition,Bhutan,Paro,South Asia,120893,2019,Fall,Intend to Participate,F,
Fall 2019,Black or African-American,May 18 2020 12:00AM,Institute for Central American Development Studies - Social Justice & Development Internship,Costa Rica,San Jose,Latin America,121374,2019,Fall,Intend to Participate,F,
Fall 2019,White,May 24 2021 12:00AM,Leiden University College,Netherlands,The Hague,Europe,122250,2019,Fall,Intend to Participate,F,
Fall 2019,White,May 24 2021 12:00AM,College Year in Athens - Semester and Academic Year Program,Greece,Athens,Europe,122384,2019,Fall,Intend to Participate,F,
Fall 2019,White,May 24 2021 12:00AM,IES Abroad Freiburg - Environmental Studies & Sustainability,Germany,Freiburg,Europe,122895,2019,Fall,Intend to Participate,F,
Fall 2019,White,May 24 2021 12:00AM,IES Abroad Cape Town - University of Cape Town,South Africa,Cape Town,Sub-Saharan Africa,123194,2019,Fall,Intend to Participate,M,
Fall 2019,Black or African-American,May 24 2021 12:00AM,X - IES Abroad Santiago - Study in Santiago,Chile,Santiago,Latin America,123229,2019,Fall,Intend to Participate,F,
Fall 2019,White,May 24 2021 12:00AM,*<B>Grinnell-in-London</B>,United Kingdom,London,Europe,123839,2019,Fall,Intend to Participate,F,
Fall 2019,White,May 24 2021 12:00AM,*<B>Grinnell-in-London</B>,United Kingdom,undefined,Europe,123839,2019,Fall,Intend to Participate,F,
Fall 2019,White,May 24 2021 12:00AM,Middlebury School in Russia: Irkutsk,Russia,Irkustk,Europe,123919,2019,Fall,Intend to Participate,M,
Fall 2019,White,May 24 2021 12:00AM,"CIEE Liberal Arts Program in Buenos Aires, Argentina",Argentina,Buenos Aires,Latin America,124218,2019,Fall,Intend to Participate,F,
Fall 2019,White,May 24 2021 12:00AM,"X - SIT Study Abroad/IHP: Food Systems: Agriculture, Sustainability, and Justice",Malawi,Lilongwe,Sub-Saharan Africa,124235,2019,Fall,Intend to Participate,F,
Fall 2019,White,May 24 2021 12:00AM,"X - SIT Study Abroad/IHP: Food Systems: Agriculture, Sustainability, and Justice",Spain,Barcelona,Europe,124235,2019,Fall,Intend to Participate,F,
Fall 2019,White,May 24 2021 12:00AM,"X - SIT Study Abroad/IHP: Food Systems: Agriculture, Sustainability, and Justice",United States,"Atlanta, GA",North America,124235,2019,Fall,Intend to Participate,F,
Fall 2019,Hispanic (of any race),May 18 2020 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,124367,2019,Fall,Intend to Participate,F,
Fall 2019,White,May 24 2021 12:00AM,National Theater Institute,United States,"Waterford, CT",North America,124546,2019,Fall,Intend to Participate,F,
Fall 2019,White,May 24 2021 12:00AM,IES Abroad Quito - Area Studies & Language,Ecuador,Quito,Latin America,124568,2019,Fall,Intend to Participate,M,
Fall 2019,White,May 24 2021 12:00AM,IES Abroad Quito - Area Studies & Language,Ecuador,Quito,Latin America,124569,2019,Fall,Intend to Participate,F,
Fall 2019,Ethnicity and race unknown,May 25 2021 12:00AM,IES Abroad Freiburg - Environmental Studies & Sustainability,Germany,Freiburg,Europe,124600,2019,Fall,Intend to Participate,F,
Fall 2019,White,May 24 2021 12:00AM,The School for Field Studies - Rainforest to Reef (Australia),Australia,Atherton Tablelands,Oceania,124755,2019,Fall,Intend to Participate,F,
Fall 2019,White,May 18 2020 12:00AM,X - CIEE Russian Area Studies,Russia,Saint Petersburg,Europe,124791,2019,Fall,Intend to Participate,F,
Fall 2019,White,May 18 2020 12:00AM,X - CIEE Russian Area Studies,Russia,St Petersburg,Europe,124791,2019,Fall,Intend to Participate,F,
